region,Moderaterna,Centerpartiet,Folkpartiet,Kristdemokraterna,Miljopartiet,Socialdemokraterna,Vansterpartiet,Sverigedemokraterna,Ovriga
"Svenljunga";"29.3";"29.0";"3.8";"6.5";"14.1";"7.9";"3.1";"5.2";"1.0"
"Herrljunga";"27.2";"24.7";"5.3";"7.2";"13.0";"7.9";"4.9";"9.0";"0.7"
"Vara";"28.3";"33.0";"3.7";"5.6";"12.4";"5.8";"4.1";"6.2";"0.8"
"Götene";"34.5";"25.5";"6.4";"6.2";"8.7";"4.8";"4.9";"8.2";"0.9"
"Tibro";"36.4";"23.4";"4.4";"7.2";"7.3";"6.4";"4.3";"10.0";"0.6"
"Töreboda";"37.6";"24.8";"4.3";"3.9";"11.6";"6.5";"5.1";"5.3";"0.9"
"Göteborg";"25.2";"30.4";"10.7";"8.4";"3.8";"4.9";"8.5";"6.1";"1.9"
"Mölndal";"24.8";"32.9";"8.5";"10.3";"4.8";"5.6";"5.3";"6.5";"1.4"
"Kungälv";"26.0";"33.2";"6.3";"9.1";"6.6";"6.2";"4.4";"7.1";"1.0"
"Lysekil";"36.7";"25.6";"6.5";"10.0";"4.2";"5.8";"5.6";"4.7";"0.9"
"Uddevalla";"33.4";"28.8";"7.0";"6.6";"5.0";"6.1";"5.2";"6.8";"1.1"
"Strömstad";"28.0";"29.3";"8.5";"8.6";"10.9";"4.5";"4.2";"5.2";"0.8"
"Vänersborg";"34.0";"26.0";"7.1";"7.5";"5.7";"6.3";"6.7";"5.4";"1.2"
"Trollhättan";"42.0";"24.1";"6.7";"7.4";"3.7";"4.9";"5.8";"4.4";"1.0"
"Alingsås";"25.7";"27.9";"9.5";"10.0";"6.2";"4.7";"6.2";"8.7";"1.1"
"Borås";"31.9";"29.1";"6.5";"7.7";"4.7";"7.1";"5.6";"6.2";"1.3"
"Ulricehamn";"26.2";"29.4";"6.1";"6.8";"12.2";"6.7";"3.9";"7.9";"0.9"
"Åmål";"39.7";"24.8";"6.1";"6.0";"6.6";"5.5";"5.3";"5.2";"0.8"
"Mariestad";"37.1";"28.1";"6.1";"5.6";"5.3";"5.2";"5.9";"5.7";"1.0"
"Lidköping";"35.3";"26.3";"6.4";"6.7";"7.1";"5.1";"5.7";"6.5";"0.8"
"Skara";"34.4";"29.4";"6.3";"5.8";"7.3";"5.6";"4.6";"5.5";"1.1"
"Skövde";"31.0";"30.3";"6.3";"7.3";"7.5";"5.2";"4.7";"6.3";"1.3"
"Hjo";"30.8";"28.8";"6.6";"7.5";"7.3";"5.2";"4.6";"8.4";"0.8"
"Tidaholm";"43.8";"22.0";"4.8";"5.0";"6.8";"6.2";"5.4";"5.1";"0.8"
"Falköping";"31.2";"27.8";"5.3";"5.2";"9.3";"7.8";"4.7";"7.8";"0.9"
"Kil";"38.0";"26.0";"5.3";"5.6";"9.1";"4.7";"5.2";"5.1";"1.0"
"Eda";"43.0";"22.7";"2.8";"3.7";"12.3";"5.7";"4.6";"4.0";"1.1"
"Torsby";"44.3";"24.3";"2.8";"3.5";"8.8";"4.2";"7.2";"3.1";"1.8"
"Storfors";"50.8";"18.0";"3.5";"3.3";"6.4";"5.7";"7.3";"3.9";"1.1"
"Hammarö";"35.1";"31.5";"5.8";"7.5";"4.5";"3.9";"5.0";"5.6";"1.2"
"Munkfors";"56.1";"11.8";"2.6";"5.9";"7.3";"4.9";"6.6";"2.9";"1.9"
"Forshaga";"47.2";"21.1";"4.9";"5.1";"6.0";"5.2";"5.4";"4.3";"0.9"
"Grums";"48.8";"20.9";"3.7";"3.8";"7.3";"5.4";"5.3";"3.4";"1.3"
"Årjäng";"31.7";"24.4";"3.0";"7.4";"14.3";"6.6";"3.3";"8.4";"1.0"
"Sunne";"32.6";"27.4";"4.1";"4.9";"16.8";"4.1";"4.5";"4.4";"1.1"
"Karlstad";"32.9";"29.9";"8.0";"7.5";"5.5";"4.2";"5.5";"5.3";"1.2"
"Kristinehamn";"40.6";"25.4";"5.5";"6.1";"6.1";"4.5";"6.3";"4.4";"1.1"
"Filipstad";"51.8";"18.6";"3.6";"4.1";"3.8";"6.2";"8.2";"2.8";"0.9"
"Hagfors";"53.6";"14.4";"2.6";"4.0";"7.1";"5.3";"9.2";"2.2";"1.7"
"Arvika";"39.0";"23.6";"6.3";"5.5";"8.4";"5.4";"6.5";"4.3";"1.0"
"Säffle";"33.6";"27.4";"4.4";"5.6";"12.1";"6.4";"3.9";"5.9";"0.7"
"Lekeberg";"30.7";"24.8";"5.3";"4.4";"12.9";"7.5";"4.5";"8.9";"1.1"
"Laxå";"49.1";"19.5";"3.0";"5.2";"5.7";"5.5";"5.1";"6.3";"0.6"
"Hallsberg";"44.8";"20.7";"4.9";"4.8";"6.2";"6.7";"5.9";"5.3";"0.8"
"Degerfors";"52.7";"13.8";"4.9";"3.1";"4.1";"5.4";"10.8";"4.5";"0.6"
"Hällefors";"51.2";"17.8";"4.5";"3.6";"4.7";"7.2";"7.2";"2.5";"1.2"
"Ljusnarsberg";"44.4";"19.4";"4.5";"3.2";"5.5";"9.6";"7.9";"3.6";"1.9"
"Örebro";"34.1";"26.0";"8.1";"7.6";"4.8";"5.5";"5.8";"7.0";"1.1"
"Kumla";"41.1";"23.4";"4.7";"6.3";"5.2";"7.2";"4.2";"6.9";"1.0"
"Askersund";"39.4";"25.6";"4.9";"4.9";"8.1";"5.8";"4.6";"6.0";"0.7"
"Karlskoga";"46.3";"23.2";"5.4";"5.3";"3.1";"4.7";"5.3";"4.8";"1.9"
"Nora";"40.4";"24.2";"6.1";"6.4";"6.2";"5.8";"4.5";"5.5";"1.0"
"Lindesberg";"38.6";"23.5";"5.2";"5.0";"8.0";"9.2";"4.6";"4.8";"1.0"
"Skinnskatteberg";"45.3";"17.4";"5.3";"7.8";"6.4";"6.7";"7.4";"2.9";"0.9"
"Surahammar";"49.1";"19.4";"4.1";"5.7";"2.8";"7.0";"7.9";"2.9";"1.1"
"Kungsör";"35.3";"27.3";"5.0";"7.0";"6.9";"7.1";"5.6";"4.8";"1.0"
"Hallstahammar";"47.0";"20.4";"4.7";"6.1";"3.5";"5.7";"7.3";"4.3";"1.1"
"Norberg";"42.4";"20.0";"5.8";"4.7";"4.6";"7.3";"11.0";"2.9";"1.1"
"Västerås";"32.6";"30.4";"6.4";"8.9";"4.3";"5.9";"4.8";"5.1";"1.6"
"Sala";"33.5";"26.3";"5.9";"6.0";"11.3";"6.4";"4.8";"4.9";"1.0"
"Fagersta";"44.4";"21.2";"5.0";"4.9";"3.4";"7.7";"8.8";"3.7";"0.9"
"Köping";"41.0";"23.5";"5.1";"5.3";"6.4";"7.0";"6.8";"3.9";"1.0"
"Arboga";"37.6";"26.4";"6.2";"6.8";"5.8";"6.0";"5.7";"4.5";"1.0"
"Vansbro";"40.4";"19.7";"2.6";"3.5";"13.9";"6.0";"5.8";"6.8";"1.2"
"Malung-Sälen";"36.5";"30.0";"3.0";"5.8";"8.2";"5.7";"6.7";"2.6";"1.5"
"Gagnef";"34.9";"23.7";"6.1";"4.1";"12.3";"7.3";"5.0";"5.7";"1.1"
"Leksand";"28.9";"31.4";"6.5";"5.3";"9.4";"4.0";"4.1";"8.8";"1.5"
"Rättvik";"34.1";"26.5";"6.2";"5.1";"11.2";"6.1";"3.7";"4.9";"2.2"
"Orsa";"36.1";"21.2";"6.6";"4.6";"10.2";"9.0";"6.2";"4.7";"1.3"
"Älvdalen";"41.7";"22.8";"3.7";"3.1";"10.6";"7.9";"5.3";"3.7";"1.2"
"Smedjebacken";"50.9";"19.7";"4.1";"3.4";"5.1";"6.4";"6.7";"2.7";"1.1"
"Mora";"36.1";"26.8";"6.0";"4.9";"9.0";"6.1";"4.6";"4.5";"2.0"
